Entity,Code,Year,Christians,Jews,Muslims,Hindus,Buddhists,Other,No religion
Malta,MLT,2020,88.59968,0.28691515,3.6430144,1.4153273,0.6069073,0.20319867,5.2449555
Martinique,MTQ,2010,96.40354,0,0.21097839,0.23085342,0.03891645,0.7102233,2.4054897
Martinique,MTQ,2020,96.0404,0,0.21691339,0.23743221,0.039971754,0.7306836,2.7346008
Mauritania,MRT,2010,0.27142122,0.002924438,99.12472,0,0,0.49861526,0.10231813
Mauritania,MRT,2020,0.23378053,0.002222912,99.1854,0,0,0.47209135,0.106502414
Mauritius,MUS,2010,32.76852,0.003350658,17.39204,48.51429,0.3983741,0.19082448,0.73260117
Mauritius,MUS,2020,32.85669,0.003313229,17.511871,48.28931,0.39509785,0.1903869,0.7533297
Mayotte,MYT,2010,0.66166466,0,98.66365,0,0,0.46019474,0.21448764
Mayotte,MYT,2020,0.5216027,0,98.83877,0,0,0.46002206,0.17961021
Mexico,MEX,2010,95.018,0.061566554,0.003439206,0.001766544,0.012810351,0.07363983,4.8287835
Mexico,MEX,2020,89.17308,0.04679668,0.006285933,0.00391715,0.018263193,0.1173041,10.63435
Micronesia (country),FSM,2010,98.787056,0,0.001932067,0.008744567,0.08365284,0.41795793,0.70065385
Micronesia (country),FSM,2020,98.80326,0,0.001957694,0.008626352,0.08365284,0.41783303,0.6846712
Middle East-North Africa (Pew),PEW_MENA,2010,3.318749,1.6217283,93.967026,0.56061095,0.018161742,0.14352216,0.37020186
Middle East-North Africa (Pew),PEW_MENA,2020,2.9381886,1.5439178,94.18347,0.7331242,0.020175267,0.15842296,0.42270285
Moldova,MDA,2010,97.87239,0.023544269,0.13277817,0,0.003534351,0.6615323,1.3062216
Moldova,MDA,2020,99.53435,0.019609634,0.18123922,0,0.003565817,0.027385129,0.23385538
Mongolia,MNG,2010,2.1479096,0,3.2973683,0.0029602,53.884396,3.221713,37.445656
Mongolia,MNG,2020,1.3424848,0,3.526083,0.003035514,51.135098,3.16543,40.82787
Montenegro,MNE,2010,77.536476,0,19.623964,0,0,1.5700431,1.2695199
Montenegro,MNE,2020,76.04616,0,21.307114,0,0,1.5032927,1.1434373
Morocco,MAR,2010,0.09684824,0.010835662,99.65975,0,0,0.10202804,0.13053523
Morocco,MAR,2020,0.0854769,0.006179804,99.67552,0,0,0.10203585,0.13078915
Mozambique,MOZ,2010,56.335915,0,17.990868,0.043339342,0.002080288,6.679975,18.947823
Mozambique,MOZ,2020,61.33995,0,19.427248,0.032073654,0.001603683,4.9115868,14.287538
